fold0_train,fold0_test,fold1_train,fold1_test,fold2_train,fold2_test,fold3_train,fold3_test,fold4_train,fold4_test,twitter_train
4467647159014178,4469447743803129,4463632388123247,4468248122303492,4467956598085069,4468400484920631,4473843516972397,4466178346708147,4467645782908291,4466171908922564,692550140754841603
4473666744171379,4463632388123247,4468734179335233,4473666744171379,4473760385747993,4469311550496174,4467944107409588,4464548373717200,4464429045647263,4469311550496174,501774615837163521
4469701126634487,4466178346708147,4468664931312309,4468265240178357,4466411679787090,4469108794219833,4468156439482840,4470039111488996,4464406538945086,4464426155394196,687643002240679936
4467811239905643,4471315618321333,4464157032449950,4473038315457573,4468437151892906,4464406538945086,4464622066851902,4473498166956193,4468707273682051,4473716186899788,692451275930234880
4468710095892412,4467779174701613,4468726328062876,4466209929660387,4464414549911113,4472986851303396,4473716186899788,4464405754101606,4468226094679919,4468450380956473,688763099298529280
4472732978609200,4464544371580509,4468590218829169,4469447743803129,4464544371580509,4463632388123247,4473736830783360,4468726328062876,4471135989228689,4468400484920631,675065047710892033
4468788181458672,4473643621128850,4465002524434627,4470039111488996,4465266631436753,4469289933551784,4464657034915640,4471135989228689,4466451207747960,4466411679787090,669613420665159680
4464641235049743,4469658306840901,4467819280100818,4467811239905643,4471202221120305,4463864542084593,4466090010912264,4473666744171379,4474525762882990,4465266631436753,692113839387709444
4464600864762956,4466411679787090,4465698426308836,4464429045647263,4464426155394196,4471135989228689,4467779174701613,4469289933551784,4474458733620328,4468265240178357,665361505303584774
4468329533829064,4468734179335233,4467150859023413,4472986851303396,4469018251396669,4464429045647263,4469108794219833,4469018251396669,4469289933551784,4464548373717200,544457299667202048
4464434150269928,4472732185602181,4468292070752392,4471315618321333,4474926621242011,4466171908922564,4463812289565427,4471202221120305,4464606091048713,4464434150269928,693676692309700609
4464548373717200,4468726328062876,4467648903330867,4473760385747993,4464425057122646,4464434150269928,4468722858772881,4464606091048713,4474133725577308,4473736830783360,651825062174195712
4470039111488996,4467911940553101,4475036943683410,4469108794219833,4465013860959767,4464641235049743,4468265240178357,4474525762882990,4467911940553101,4473843516972397,636925368927064064
4468290891762973,4466209929660387,4467690675075747,4468437151892906,4472720135764687,4468329533829064,4467802263575612,4473643621128850,4473038315457573,4473695546602906,532199717594497024
4466171908922564,4468707352850070,4463962899193527,4466451207747960,4472860678527506,4467645782908291,4471315618321333,4466411679787090,4468211465008746,4467779174701613,594687353937100801
4464597853984443,4471135989228689,4466178346708147,4464434150269928,4473695546602906,4466451207747960,4469019241437217,4464641235049743,4472732185602181,4464622066851902,688147918113538049
4473432114759440,4473038315457573,4468660947475097,4468156439482840,4464588995453781,4468664931312309,4472986851303396,4464600864762956,4468707352850070,4471202221120305,692702295281262593
4469391297282468,4466451207747960,4468400484920631,4464406538945086,4473643621128850,4468450380956473,4469141572878943,4469447743803129,4468248122303492,4467811239905643,765612862681255936
4468450380956473,4463962899193527,4469658306840901,4467802263575612,4467811973481568,4469019241437217,4463864542084593,4466209929660387,4464405754101606,4465013860959767,519935535083565056
4473498166956193,4468211465008746,4469311550496174,4463812289565427,4466209929660387,4473716186899788,4468284466777272,4465002524434627,4469447743803129,4472720135764687,613023744454475776
,4464426155394196,,4467911940553101,,4464548373717200,,4474458733620328,,4473643621128850,553008832784642048
,4475036943683410,,4473843516972397,,4473498166956193,,4468292070752392,,4468726328062876,693140340367187969
,4468292070752392,,4468284466777272,,4467648903330867,,4468590218829169,,4467811973481568,387353560356118528
,4464588995453781,,4468450380956473,,4467911940553101,,4468664931312309,,4465698426308836,372914976102834176
,4467956598085069,,4464588995453781,,4468590218829169,,4474926621242011,,4475036943683410,767459987476054016
,4464429045647263,,4471135989228689,,4468211465008746,,4474133725577308,,4463812289565427,489820657291911168
,4468437151892906,,4473498166956193,,4464622066851902,,4468329533829064,,4469658306840901,674301413040758785
,4472860678527506,,4472732185602181,,4468660947475097,,4473432114759440,,4469141572878943,723025600810766336
,4468226094679919,,4468707273682051,,4465698426308836,,4468707352850070,,4473498166956193,693573042111270912
,4472986851303396,,4469018251396669,,4468284466777272,,4464588995453781,,4472986851303396,504652021601800193
,4473736830783360,,4464425057122646,,4467802263575612,,4465698426308836,,4469391297282468,539052152602107904
,4467811973481568,,4473716186899788,,4464657034915640,,4464426155394196,,4471315618321333,652992524504600576
,4474525762882990,,4474525762882990,,4469391297282468,,4467811973481568,,4463632388123247,633949800761700352
,4464157032449950,,4464597853984443,,4469701126634487,,4464157032449950,,4463962899193527,686701278785843200
,4473843516972397,,4466090010912264,,4467647159014178,,4464544371580509,,4467944107409588,532246457609244672
,4473695546602906,,4474458733620328,,4472732978609200,,4469311550496174,,4464544371580509,692082337333534720
,4468400484920631,,4468788181458672,,4467819280100818,,4467648903330867,,4467647159014178,693855615618322432
,4464622066851902,,4474133725577308,,4468292070752392,,4467819280100818,,4468437151892906,766323684076322816
,4468265240178357,,4464405754101606,,4468265240178357,,4467956598085069,,4463864542084593,767814876433571840
,4469311550496174,,4473643621128850,,4473666744171379,,4468211465008746,,4469108794219833,767094580634202112
,4467645782908291,,4467779174701613,,4463812289565427,,4466451207747960,,4470039111488996,436074888638763008
,4465002524434627,,4464600864762956,,4468290891762973,,4467150859023413,,4467819280100818,489802446001434625
,4467944107409588,,4473432114759440,,4464597853984443,,4469658306840901,,4473432114759440,688752484966363136
,4469019241437217,,4463864542084593,,4464600864762956,,4468400484920631,,4469018251396669,501781217411215360
,4464405754101606,,4468290891762973,,4469141572878943,,4467811239905643,,4473666744171379,489833932813516800
,4474458733620328,,4474926621242011,,4473736830783360,,4472732978609200,,4468156439482840,691976624665919488
,4471202221120305,,4464606091048713,,4470039111488996,,4469701126634487,,4466209929660387,560187970389819392
,4474926621242011,,4468329533829064,,4473038315457573,,4464414549911113,,4468788181458672,489794593580650497
,4468722858772881,,4464622066851902,,4466090010912264,,4468734179335233,,4467956598085069,692063305297453060
,4464606091048713,,4469289933551784,,4468707352850070,,4472732185602181,,4469019241437217,682629960826224646
,4464657034915640,,4464414549911113,,4472732185602181,,4468788181458672,,4474926621242011,683158807959089152
,4467150859023413,,4467645782908291,,4468156439482840,,4467645782908291,,4464641235049743,543586319168196608
,4463864542084593,,4464426155394196,,4467150859023413,,4468290891762973,,4464425057122646,666190716448587776
,4465013860959767,,4466171908922564,,4468788181458672,,4469391297282468,,4464588995453781,387006553124896768
,4469018251396669,,4464544371580509,,4467779174701613,,4472860678527506,,4472732978609200,693091255685787648
,4473760385747993,,4465013860959767,,4464606091048713,,4472720135764687,,4468664931312309,661299012386095105
,4469289933551784,,4468211465008746,,4469447743803129,,4464406538945086,,4467150859023413,529857740059860992
,4469108794219833,,4472860678527506,,4467944107409588,,4468226094679919,,4468660947475097,523558773345255424
,4472720135764687,,4469391297282468,,4473432114759440,,4468450380956473,,4465002524434627,693162950358622208
,4464414549911113,,4467944107409588,,4467811239905643,,4468707273682051,,4464414549911113,377519445578895360
,4468664931312309,,4467956598085069,,4468722858772881,,4468660947475097,,4466178346708147,641666167992647681
,4474133725577308,,4469701126634487,,4464157032449950,,4473695546602906,,4467648903330867,613114185505996802
,4473716186899788,,4471202221120305,,4471315618321333,,4473760385747993,,4468722858772881,506656271517622272
,4464425057122646,,4466411679787090,,4468726328062876,,4464434150269928,,4466090010912264,693457310824468480
,4467819280100818,,4472732978609200,,4468248122303492,,4464429045647263,,4468734179335233,762775964224847872
,4468248122303492,,4469019241437217,,4473843516972397,,4465266631436753,,4467802263575612,618805892222468096
,4463812289565427,,4468226094679919,,4468707273682051,,4464597853984443,,4464657034915640,514550436377137152
,4468707273682051,,4468707352850070,,4474525762882990,,4473038315457573,,4469701126634487,666335363099660288
,4468590218829169,,4472720135764687,,4464405754101606,,4467647159014178,,4464597853984443,528240834660298753
,4465266631436753,,4464657034915640,,4468734179335233,,4467911940553101,,4468329533829064,689267711856263168
,4466090010912264,,4464641235049743,,4468226094679919,,4466171908922564,,4467690675075747,692566765822435328
,4468660947475097,,4467811973481568,,4474458733620328,,4463962899193527,,4468290891762973,520284654755381249
,4468284466777272,,4468710095892412,,4468710095892412,,4468437151892906,,4468710095892412,692004901455556608
,4467690675075747,,4464548373717200,,4475036943683410,,4465013860959767,,4472860678527506,365276206381268995
,4464406538945086,,4468722858772881,,4465002524434627,,4463632388123247,,4468284466777272,656662726014599168
,4465698426308836,,4473695546602906,,4474133725577308,,4468710095892412,,4464600864762956,692796451987034113
,4469141572878943,,4467647159014178,,4463962899193527,,4464425057122646,,4473760385747993,509152237503778816
,4468156439482840,,4465266631436753,,4467690675075747,,4475036943683410,,4468292070752392,524176293450223616
,4467802263575612,,4473736830783360,,4469658306840901,,4468248122303492,,4464157032449950,665309822208729088
,4467648903330867,,4469141572878943,,4466178346708147,,4467690675075747,,4468590218829169,377002232257855488
,,,,,,,,,,352075672543428608
,,,,,,,,,,640644123339431936
,,,,,,,,,,692163879909064704
,,,,,,,,,,766452700049473536
,,,,,,,,,,534763214106820608
,,,,,,,,,,665358434351509504
,,,,,,,,,,538851683141304320
,,,,,,,,,,692113799546048513
,,,,,,,,,,534445263528947712
,,,,,,,,,,521835345059389440
,,,,,,,,,,531565935128498176
,,,,,,,,,,651402689352351744
,,,,,,,,,,557621135320178688
,,,,,,,,,,560207034545889281
,,,,,,,,,,489968646014246912
,,,,,,,,,,693857080193761285
,,,,,,,,,,693481256735150082
,,,,,,,,,,687639526282498049
,,,,,,,,,,514540926640087040
,,,,,,,,,,691632933170450435
,,,,,,,,,,685473149291479040
,,,,,,,,,,528976109518721024
,,,,,,,,,,693658242044542976
,,,,,,,,,,691791477912014850
,,,,,,,,,,767710042816602112
,,,,,,,,,,690985215691354112
,,,,,,,,,,693906624776245249
,,,,,,,,,,532007252677656576
,,,,,,,,,,356407105953071107
,,,,,,,,,,670380354822348801
,,,,,,,,,,518981379963777025
,,,,,,,,,,524206851450486785
,,,,,,,,,,537377960471166976
,,,,,,,,,,767668607803359234
,,,,,,,,,,692940257134653441
,,,,,,,,,,380055172896272384
,,,,,,,,,,688281442162352128
,,,,,,,,,,767355611277168642
,,,,,,,,,,364589696573124609
,,,,,,,,,,569908998717243392
,,,,,,,,,,693897857376632832
,,,,,,,,,,693167683701968896
,,,,,,,,,,693827886021767169
,,,,,,,,,,693272659447119873
,,,,,,,,,,514468018970034176
,,,,,,,,,,766358933296517121
,,,,,,,,,,675064077367005184
,,,,,,,,,,666633171325353989
,,,,,,,,,,767859423150759936
,,,,,,,,,,659428447459110912
,,,,,,,,,,552677176873455616
,,,,,,,,,,674364257799004160
,,,,,,,,,,455525437351800832
,,,,,,,,,,489836271049928704
,,,,,,,,,,568905632998412288
,,,,,,,,,,693528374996652032
,,,,,,,,,,688755462783782912
,,,,,,,,,,692691444046372865
,,,,,,,,,,692874200927698945
,,,,,,,,,,514067907475959808
,,,,,,,,,,520132836594970625
,,,,,,,,,,767737100347191297
,,,,,,,,,,693076140278153217
,,,,,,,,,,767541796410839040
,,,,,,,,,,554343513887105024
,,,,,,,,,,516804849619705859
,,,,,,,,,,764449685897568256
,,,,,,,,,,693826104633737217
,,,,,,,,,,490141776984825856
,,,,,,,,,,692497796956561408
,,,,,,,,,,538724882461097986
,,,,,,,,,,692267960686284800
,,,,,,,,,,356297080169447425
,,,,,,,,,,767861179951648768
,,,,,,,,,,692142338890661888
,,,,,,,,,,684118654418419712
,,,,,,,,,,687786822475366401
,,,,,,,,,,763404633217835009
,,,,,,,,,,691206970074738688
,,,,,,,,,,692071267189395457
,,,,,,,,,,693471161313816576
,,,,,,,,,,693935557009801218
,,,,,,,,,,693119705469587456
,,,,,,,,,,652783670370115585
,,,,,,,,,,554688527435563008
,,,,,,,,,,767845555313774593
,,,,,,,,,,693284114724700160
,,,,,,,,,,690580180805509121
,,,,,,,,,,691608761128067072
,,,,,,,,,,693123067204243456
,,,,,,,,,,692031514943582208
,,,,,,,,,,326137285450018817
,,,,,,,,,,761675705956655109
,,,,,,,,,,690954487322796032
,,,,,,,,,,693648675772436480
,,,,,,,,,,613294443878305796
,,,,,,,,,,514062859987595264
,,,,,,,,,,693492159635443714
,,,,,,,,,,692368829368918017
,,,,,,,,,,489975398151618560
,,,,,,,,,,675193315306905600
,,,,,,,,,,538729383662338049
,,,,,,,,,,761573188543229952
,,,,,,,,,,689549346875031552
,,,,,,,,,,552112474913136641
,,,,,,,,,,626516248206135296
,,,,,,,,,,570341828479725570
,,,,,,,,,,692332739824095234
,,,,,,,,,,629209452793626624
,,,,,,,,,,693032076543655936
,,,,,,,,,,676094756758364160
,,,,,,,,,,767561970182598657
,,,,,,,,,,687945926774800385
,,,,,,,,,,666107476526432256
,,,,,,,,,,692924229017309184
,,,,,,,,,,672553813249826816
,,,,,,,,,,692024256520179712
,,,,,,,,,,531833233143783424
,,,,,,,,,,521533372280369152
,,,,,,,,,,489796088338341888
,,,,,,,,,,685633217160998912
,,,,,,,,,,765631087867367426
,,,,,,,,,,767203096472719364
,,,,,,,,,,759653274605740032
,,,,,,,,,,560442390805090307
,,,,,,,,,,674301960787505153
,,,,,,,,,,693893182338289664
,,,,,,,,,,692405195796529152
,,,,,,,,,,554979642210549760
,,,,,,,,,,693643778033344512
,,,,,,,,,,629503919098429440
,,,,,,,,,,524181699043663872
,,,,,,,,,,691889802724118532
,,,,,,,,,,693873151659249669
,,,,,,,,,,550038665653542913
,,,,,,,,,,522553662996901888
,,,,,,,,,,376982539132366848
,,,,,,,,,,692892472729415680
,,,,,,,,,,692506143147606016
,,,,,,,,,,692630756548591616
,,,,,,,,,,687617735833026560
,,,,,,,,,,693501482721681408
,,,,,,,,,,693594331735683072
,,,,,,,,,,519867098945044480
,,,,,,,,,,387236601450864641
,,,,,,,,,,600451916414484480
,,,,,,,,,,521727831307722753
,,,,,,,,,,765934198297362432
,,,,,,,,,,613061089518034944
,,,,,,,,,,538412662858588160
,,,,,,,,,,693502060545703937
,,,,,,,,,,767807335691653120
,,,,,,,,,,693465666259656705
,,,,,,,,,,553099685888790528
,,,,,,,,,,370855596050108416
,,,,,,,,,,658259426172891136
,,,,,,,,,,372489152903643136
,,,,,,,,,,662381914842603520
,,,,,,,,,,691327238353129472
,,,,,,,,,,693534177694609409
,,,,,,,,,,767154835993063425
,,,,,,,,,,641088973717110784
,,,,,,,,,,764158239089029120
,,,,,,,,,,514429381737852929
,,,,,,,,,,506118402466152449
,,,,,,,,,,548672230134382592
,,,,,,,,,,692736398462300162
,,,,,,,,,,642432477185867776
,,,,,,,,,,524317344730869760
,,,,,,,,,,692701223326056449
,,,,,,,,,,681199637387149313
,,,,,,,,,,504453071041482753
,,,,,,,,,,553061846081896449
,,,,,,,,,,688763993633107968
,,,,,,,,,,537378640653475841
,,,,,,,,,,693686290408181760
,,,,,,,,,,690522824797196288
,,,,,,,,,,690376107825192960
,,,,,,,,,,687911282922631168
,,,,,,,,,,693549273468764160
,,,,,,,,,,672180526946656256
,,,,,,,,,,764906140257837056
,,,,,,,,,,560414522758799361
,,,,,,,,,,523123023646175233
,,,,,,,,,,692423131726749697
,,,,,,,,,,693629063932596224
,,,,,,,,,,693214543615561729
,,,,,,,,,,504500863944376321
,,,,,,,,,,693087220459270144
,,,,,,,,,,547803254516490240
,,,,,,,,,,553960736964476928
,,,,,,,,,,510286132568150016
,,,,,,,,,,692391757775028228
,,,,,,,,,,689915847939219456
,,,,,,,,,,687631811560763392
,,,,,,,,,,692838349036326912
,,,,,,,,,,523566838958284801
,,,,,,,,,,615346611955183616
,,,,,,,,,,689938201193115648
,,,,,,,,,,387006700609228801
,,,,,,,,,,511918957255991296
,,,,,,,,,,693729678306189313
,,,,,,,,,,613404935003217920
,,,,,,,,,,614054616154550273
,,,,,,,,,,692735698349199360
,,,,,,,,,,692925163994796033
,,,,,,,,,,690431187916099584
,,,,,,,,,,514546272972574721
,,,,,,,,,,553115168084074497
,,,,,,,,,,687734662249246724
,,,,,,,,,,689214940679409664
,,,,,,,,,,692881863644282880
,,,,,,,,,,691995324752252930
,,,,,,,,,,651959206287908868
,,,,,,,,,,672432930426372096
,,,,,,,,,,692758050378256388
,,,,,,,,,,656825206045020160
,,,,,,,,,,675043569367982081
,,,,,,,,,,689100941119848449
,,,,,,,,,,692290126282649601
,,,,,,,,,,692047663211085825
,,,,,,,,,,693456340790804480
,,,,,,,,,,693476774462820352
,,,,,,,,,,535507913226190849
,,,,,,,,,,655986243042459648
,,,,,,,,,,514072132301910016
,,,,,,,,,,693512850539683842
,,,,,,,,,,654351281260113920
,,,,,,,,,,538975342011363328
,,,,,,,,,,692816955837804544
,,,,,,,,,,691616143161819136
,,,,,,,,,,514483762566922240
,,,,,,,,,,686666933949837312
,,,,,,,,,,767444114229059584
,,,,,,,,,,693265096278163456
,,,,,,,,,,489865454312099840
,,,,,,,,,,553190393370923008
,,,,,,,,,,687748306571804672
,,,,,,,,,,570405783306944514
,,,,,,,,,,693629498177253376
,,,,,,,,,,692150118921957376
,,,,,,,,,,489794369487380480
,,,,,,,,,,764573523713011713
,,,,,,,,,,767715489485205505
,,,,,,,,,,687632433483759616
,,,,,,,,,,534409916560461825
,,,,,,,,,,622891631293935616
,,,,,,,,,,693606934050684928
,,,,,,,,,,689799953330368513
,,,,,,,,,,692106491365605376
,,,,,,,,,,693204483501887488
,,,,,,,,,,764753085675761664
,,,,,,,,,,559863517151784960
,,,,,,,,,,688752927381581824
,,,,,,,,,,688741019979001856
,,,,,,,,,,544154048950435840
,,,,,,,,,,692735354240114688
,,,,,,,,,,767129248045948929
,,,,,,,,,,356268980211687424
,,,,,,,,,,692023855926374400
,,,,,,,,,,693200309955469312
,,,,,,,,,,691351064868732928
,,,,,,,,,,764653644138450945
,,,,,,,,,,568580363339091968
,,,,,,,,,,766307327922335745
,,,,,,,,,,560163341524807680
,,,,,,,,,,638050997340893184
,,,,,,,,,,688751183645782016
,,,,,,,,,,534461459938304001
,,,,,,,,,,516636338679197697
,,,,,,,,,,539813330983354368
,,,,,,,,,,553103772852191233
,,,,,,,,,,656047932093763584
,,,,,,,,,,693769968199061504
,,,,,,,,,,623818627054206977
,,,,,,,,,,365056836476481537
,,,,,,,,,,692748411481780224
,,,,,,,,,,766316494695305218
,,,,,,,,,,514081464171102208
,,,,,,,,,,489798219283857408
,,,,,,,,,,693080409282846720
,,,,,,,,,,553115236992290816
,,,,,,,,,,766541461189832704
,,,,,,,,,,561952533942661120
,,,,,,,,,,684488313512800256
,,,,,,,,,,647169726158925824
,,,,,,,,,,514495841600811009
,,,,,,,,,,524152657783820288
,,,,,,,,,,532319110458118144
,,,,,,,,,,491591245152935936
,,,,,,,,,,676120162018451456
,,,,,,,,,,693524179597955072
,,,,,,,,,,672433211604013057
,,,,,,,,,,380140114552188928
,,,,,,,,,,693079616072880128
,,,,,,,,,,692516224245235712
,,,,,,,,,,507557659206516736
,,,,,,,,,,656880145769197568
,,,,,,,,,,515918632178577408
,,,,,,,,,,450341615979069440
,,,,,,,,,,692540218310803456
,,,,,,,,,,507634536176300032
,,,,,,,,,,664000310856310784
,,,,,,,,,,693492349142433792
,,,,,,,,,,691064699853606913
,,,,,,,,,,692382471061663744
,,,,,,,,,,612841482823729152
,,,,,,,,,,663817239896821760
,,,,,,,,,,489816746405007360
,,,,,,,,,,641191076716417025
,,,,,,,,,,693673606279229440
,,,,,,,,,,693060960001597440
,,,,,,,,,,692537942439501824
,,,,,,,,,,693107789007339521
,,,,,,,,,,676870737932742656
,,,,,,,,,,687537772970684417
,,,,,,,,,,693452449173086210
,,,,,,,,,,692665281362202624
,,,,,,,,,,763964234774347776
,,,,,,,,,,765779159176077312
,,,,,,,,,,535252460148113409
,,,,,,,,,,688441130271289350
,,,,,,,,,,689798164287741953
,,,,,,,,,,693083689098477568
,,,,,,,,,,693622130735484929
,,,,,,,,,,656834590779289600
,,,,,,,,,,767528171520524288
,,,,,,,,,,692826642583019521
,,,,,,,,,,659462980476637184
,,,,,,,,,,532208816692416512
,,,,,,,,,,692376812022792196
,,,,,,,,,,571052823665704960
,,,,,,,,,,656818921979310081
,,,,,,,,,,509114008587100160
,,,,,,,,,,489867900296368129
,,,,,,,,,,365497016098369536
,,,,,,,,,,767580827513397252
,,,,,,,,,,613362193787129860
,,,,,,,,,,366025766183514112
,,,,,,,,,,80080680482123777
,,,,,,,,,,436089462326849536
,,,,,,,,,,693126696132804608
,,,,,,,,,,560474897013415936
,,,,,,,,,,693533469922693120
,,,,,,,,,,656848877463560192
,,,,,,,,,,723198441690636288
,,,,,,,,,,534364937939062784
,,,,,,,,,,692727606718824448
,,,,,,,,,,691600834707247104
,,,,,,,,,,618449248179191808
,,,,,,,,,,693216311502073856
,,,,,,,,,,692758581494599681
,,,,,,,,,,690926324903317504
,,,,,,,,,,663904307113275392
,,,,,,,,,,524168442841010176
,,,,,,,,,,692734579141185536
